6983 COMPLETE -1,4 inFlight=0 remaining=131
6983 DISPATCH -1,5 inFlight=1 remaining=130
CALL -1,5 took=37.044888ms
7021 COMPLETE -1,5 inFlight=0 remaining=130
7021 DISPATCH -1,6 inFlight=1 remaining=129
CALL -1,6 took=39.1946ms
7060 COMPLETE -1,6 inFlight=0 remaining=129
7060 DISPATCH -1,7 inFlight=1 remaining=128
CALL -1,7 took=38.838061ms
7099 COMPLETE -1,7 inFlight=0 remaining=128
7100 DISPATCH 0,-8 inFlight=1 remaining=127
CALL 0,-8 took=111.797356ms
7212 COMPLETE 0,-8 inFlight=0 remaining=127
7212 DISPATCH 0,-7 inFlight=1 remaining=126
CALL 0,-7 took=44.325001ms
7256 COMPLETE 0,-7 inFlight=0 remaining=126
7256 DISPATCH 0,-6 inFlight=1 remaining=125
CALL 0,-6 took=30.79211ms
7287 COMPLETE 0,-6 inFlight=0 remaining=125
7287 DISPATCH 0,-5 inFlight=1 remaining=124
CALL 0,-5 took=33.341502ms
7321 COMPLETE 0,-5 inFlight=0 remaining=124
7321 DISPATCH 0,-4 inFlight=1 remaining=123
CALL 0,-4 took=8.442123ms
7330 COMPLETE 0,-4 inFlight=0 remaining=123
7330 DISPATCH 0,-3 inFlight=1 remaining=122
CALL 0,-3 took=12.224818ms
7342 COMPLETE 0,-3 inFlight=0 remaining=122
7342 DISPATCH 0,-2 inFlight=1 remaining=121
CALL 0,-2 took=2.654459ms
7345 COMPLETE 0,-2 inFlight=0 remaining=121
7345 DISPATCH 0,-1 inFlight=1 remaining=120
CALL 0,-1 took=1.705879ms
7347 COMPLETE 0,-1 inFlight=0 remaining=120
7347 DISPATCH 0,0 inFlight=1 remaining=119
CALL 0,0 took=0.044363ms
7347 COMPLETE 0,0 inFlight=0 remaining=119
7347 DISPATCH 0,1 inFlight=1 remaining=118
CALL 0,1 took=37.654552ms
7385 COMPLETE 0,1 inFlight=0 remaining=118
7385 DISPATCH 0,2 inFlight=1 remaining=117
CALL 0,2 took=38.139841ms
7423 COMPLETE 0,2 inFlight=0 remaining=117
7423 DISPATCH 0,3 inFlight=1 remaining=116
CALL 0,3 took=38.423553ms
7462 COMPLETE 0,3 inFlight=0 remaining=116
7462 DISPATCH 0,4 inFlight=1 remaining=115
CALL 0,4 took=37.215768ms
7499 COMPLETE 0,4 inFlight=0 remaining=115
7499 DISPATCH 0,5 inFlight=1 remaining=114
CALL 0,5 took=38.33145ms
7538 COMPLETE 0,5 inFlight=0 remaining=114
7538 DISPATCH 0,6 inFlight=1 remaining=113
CALL 0,6 took=34.612726ms
7573 COMPLETE 0,6 inFlight=0 remaining=113
7573 DISPATCH 0,7 inFlight=1 remaining=112
CALL 0,7 took=36.065201ms
7609 COMPLETE 0,7 inFlight=0 remaining=112
7609 DISPATCH 1,-8 inFlight=1 remaining=111
CALL 1,-8 took=156.362999ms
7766 COMPLETE 1,-8 inFlight=0 remaining=111
7766 DISPATCH 1,-7 inFlight=1 remaining=110
CALL 1,-7 took=35.108826ms
7801 COMPLETE 1,-7 inFlight=0 remaining=110
7801 DISPATCH 1,-6 inFlight=1 remaining=109
CALL 1,-6 took=36.053148ms
7837 COMPLETE 1,-6 inFlight=0 remaining=109
7837 DISPATCH 1,-5 inFlight=1 remaining=108
CALL 1,-5 took=37.315184ms
7875 COMPLETE 1,-5 inFlight=0 remaining=108
7875 DISPATCH 1,-4 inFlight=1 remaining=107
CALL 1,-4 took=38.761928ms
7914 COMPLETE 1,-4 inFlight=0 remaining=107
7914 DISPATCH 1,-3 inFlight=1 remaining=106
CALL 1,-3 took=43.132786ms
7957 COMPLETE 1,-3 inFlight=0 remaining=106
7957 DISPATCH 1,-2 inFlight=1 remaining=105
CALL 1,-2 took=39.343158ms
7997 COMPLETE 1,-2 inFlight=0 remaining=105
7997 DISPATCH 1,-1 inFlight=1 remaining=104
CALL 1,-1 took=42.973948ms
8040 COMPLETE 1,-1 inFlight=0 remaining=104
8040 DISPATCH 1,0 inFlight=1 remaining=103
CALL 1,0 took=36.509142ms
8077 COMPLETE 1,0 inFlight=0 remaining=103
8077 DISPATCH 1,1 inFlight=1 remaining=102
CALL 1,1 took=36.295432ms
8114 COMPLETE 1,1 inFlight=0 remaining=102
8114 DISPATCH 1,2 inFlight=1 remaining=101
CALL 1,2 took=35.279868ms
8149 COMPLETE 1,2 inFlight=0 remaining=101
8149 DISPATCH 1,3 inFlight=1 remaining=100
CALL 1,3 took=48.278296ms
8198 COMPLETE 1,3 inFlight=0 remaining=100
8198 DISPATCH 1,4 inFlight=1 remaining=99
CALL 1,4 took=51.089017ms
8249 COMPLETE 1,4 inFlight=0 remaining=99
8249 DISPATCH 1,5 inFlight=1 remaining=98
CALL 1,5 took=44.931108ms
8294 COMPLETE 1,5 inFlight=0 remaining=98
8294 DISPATCH 1,6 inFlight=1 remaining=97
CALL 1,6 took=40.0797ms
8334 COMPLETE 1,6 inFlight=0 remaining=97
8334 DISPATCH 1,7 inFlight=1 remaining=96
CALL 1,7 took=38.260929ms
8373 COMPLETE 1,7 inFlight=0 remaining=96
8373 DISPATCH 2,-8 inFlight=1 remaining=95
CALL 2,-8 took=136.778598ms
8510 COMPLETE 2,-8 inFlight=0 remaining=95
8510 DISPATCH 2,-7 inFlight=1 remaining=94
CALL 2,-7 took=41.252259ms
8551 COMPLETE 2,-7 inFlight=0 remaining=94
8551 DISPATCH 2,-6 inFlight=1 remaining=93
CALL 2,-6 took=37.899591ms
8589 COMPLETE 2,-6 inFlight=0 remaining=93
8590 DISPATCH 2,-5 inFlight=1 remaining=92
CALL 2,-5 took=42.765317ms
8633 COMPLETE 2,-5 inFlight=0 remaining=92
8633 DISPATCH 2,-4 inFlight=1 remaining=91
CALL 2,-4 took=47.162824ms
8680 COMPLETE 2,-4 inFlight=0 remaining=91
8680 DISPATCH 2,-3 inFlight=1 remaining=90
CALL 2,-3 took=38.041397ms
8718 COMPLETE 2,-3 inFlight=0 remaining=90
8718 DISPATCH 2,-2 inFlight=1 remaining=89
CALL 2,-2 took=34.413843ms
8753 COMPLETE 2,-2 inFlight=0 remaining=89
8753 DISPATCH 2,-1 inFlight=1 remaining=88
CALL 2,-1 took=37.327889ms
8791 COMPLETE 2,-1 inFlight=0 remaining=88
8791 DISPATCH 2,0 inFlight=1 remaining=87
CALL 2,0 took=35.221217ms
8826 COMPLETE 2,0 inFlight=0 remaining=87
8826 DISPATCH 2,1 inFlight=1 remaining=86
CALL 2,1 took=36.111427ms
8862 COMPLETE 2,1 inFlight=0 remaining=86
8862 DISPATCH 2,2 inFlight=1 remaining=85
CALL 2,2 took=36.865051ms
8899 COMPLETE 2,2 inFlight=0 remaining=85
8900 DISPATCH 2,3 inFlight=1 remaining=84
CALL 2,3 took=47.072614ms
8947 COMPLETE 2,3 inFlight=0 remaining=84
8947 DISPATCH 2,4 inFlight=1 remaining=83
CALL 2,4 took=35.99549ms
8983 COMPLETE 2,4 inFlight=0 remaining=83
8983 DISPATCH 2,5 inFlight=1 remaining=82
CALL 2,5 took=39.860248ms
9023 COMPLETE 2,5 inFlight=0 remaining=82
9023 DISPATCH 2,6 inFlight=1 remaining=81
CALL 2,6 took=46.469423ms
9070 COMPLETE 2,6 inFlight=0 remaining=81
9070 DISPATCH 2,7 inFlight=1 remaining=80
CALL 2,7 took=45.325248ms
9115 COMPLETE 2,7 inFlight=0 remaining=80
9115 DISPATCH 3,-8 inFlight=1 remaining=79
CALL 3,-8 took=94.627884ms
9210 COMPLETE 3,-8 inFlight=0 remaining=79
9210 DISPATCH 3,-7 inFlight=1 remaining=78
CALL 3,-7 took=38.505557ms
9249 COMPLETE 3,-7 inFlight=0 remaining=78
9249 DISPATCH 3,-6 inFlight=1 remaining=77
CALL 3,-6 took=37.04576ms
9286 COMPLETE 3,-6 inFlight=0 remaining=77
9286 DISPATCH 3,-5 inFlight=1 remaining=76
CALL 3,-5 took=39.478402ms
9326 COMPLETE 3,-5 inFlight=0 remaining=76
9326 DISPATCH 3,-4 inFlight=1 remaining=75
CALL 3,-4 took=48.785988ms
9375 COMPLETE 3,-4 inFlight=0 remaining=75
9375 DISPATCH 3,-3 inFlight=1 remaining=74
CALL 3,-3 took=34.845452ms
9410 COMPLETE 3,-3 inFlight=0 remaining=74
9410 DISPATCH 3,-2 inFlight=1 remaining=73
CALL 3,-2 took=35.327687ms
9446 COMPLETE 3,-2 inFlight=0 remaining=73
9446 DISPATCH 3,-1 inFlight=1 remaining=72
CALL 3,-1 took=35.821823ms
9482 COMPLETE 3,-1 inFlight=0 remaining=72
9482 DISPATCH 3,0 inFlight=1 remaining=71
CALL 3,0 took=40.466595ms
9522 COMPLETE 3,0 inFlight=0 remaining=71
9522 DISPATCH 3,1 inFlight=1 remaining=70
CALL 3,1 took=41.646418ms
9564 COMPLETE 3,1 inFlight=0 remaining=70
9564 DISPATCH 3,2 inFlight=1 remaining=69
CALL 3,2 took=46.619105ms
9611 COMPLETE 3,2 inFlight=0 remaining=69
9611 DISPATCH 3,3 inFlight=1 remaining=68
CALL 3,3 took=40.223749ms
9652 COMPLETE 3,3 inFlight=0 remaining=68
9652 DISPATCH 3,4 inFlight=1 remaining=67
CALL 3,4 took=35.064233ms
9687 COMPLETE 3,4 inFlight=0 remaining=67
9687 DISPATCH 3,5 inFlight=1 remaining=66
CALL 3,5 took=35.620977ms
9723 COMPLETE 3,5 inFlight=0 remaining=66
9723 DISPATCH 3,6 inFlight=1 remaining=65
CALL 3,6 took=65.406961ms
9788 COMPLETE 3,6 inFlight=0 remaining=65
9788 DISPATCH 3,7 inFlight=1 remaining=64
CALL 3,7 took=42.536597ms
9831 COMPLETE 3,7 inFlight=0 remaining=64
9831 DISPATCH 4,-8 inFlight=1 remaining=63
CALL 4,-8 took=84.484902ms
9916 COMPLETE 4,-8 inFlight=0 remaining=63
