samples,pct_of_total,leaf_frame
7,0.02,"net.minecraft.world.level.levelgen.SurfaceRules$SequenceRuleSource.apply(SurfaceRules$Context) line: 795"
7,0.02,"net.minecraft.world.level.levelgen.Heightmap.primeHeightmaps(ChunkAccess, Set) line: 130"
7,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.fillArray(double[], DensityFunction$ContextProvider) line: 1158"
7,0.02,"net.minecraft.util.SimpleBitStorage.set(int, int) line: 176"
7,0.02,"java.util.stream.ReferencePipeline$2$1.accept(Object) line: 196"
7,0.02,"java.util.stream.IntPipeline$1$1.accept(int) line: 180"
7,0.02,"java.util.stream.AbstractPipeline.wrapAndCopyInto(Sink, Spliterator) line: 560"
7,0.02,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1207"
6,0.02,"net.minecraft.world.level.levelgen.XoroshiroRandomSource.nextBits(int) line: 127"
6,0.02,"net.minecraft.world.level.levelgen.MarsagliaPolarGaussian.nextGaussian() line: 36"
6,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 988"
6,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 984"
6,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 981"
6,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$ShiftB.mapAll(DensityFunction$Visitor) line: 815"
6,0.02,"net.minecraft.world.level.levelgen.DensityFunction$SimpleFunction.mapAll(DensityFunction$Visitor) line: 79"
6,0.02,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.getAquiferStatus(int) line: 541"
6,0.02,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 71"
6,0.02,"net.minecraft.util.CubicSpline$Multipoint.apply(Object) line: 174"
6,0.02,"java.util.concurrent.ConcurrentLinkedQueue.poll() line: 385"
6,0.02,"java.lang.invoke.DirectMethodHandle.allocateInstance(Object) line: 500"
6,0.02,"it.unimi.dsi.fastutil.objects.ObjectArraySet.findKey(Object) line: 206"
6,0.02,"it.unimi.dsi.fastutil.longs.LongOpenHashSet$SetIterator.nextLong() line: 555"
6,0.02,"com.google.common.cache.LocalCache$Segment.getEntry(Object, int) line: 2694"
5,0.01,"net.minecraft.world.level.material.FluidState.isRandomlyTicking() line: 90"
5,0.01,"net.minecraft.world.level.lighting.BlockLightEngine.propagateIncrease(long, long, int) line: 74"
5,0.01,"net.minecraft.world.level.levelgen.placement.PlacedFeature.placeWithContext(PlacementContext, RandomSource, BlockPos) line: 49"
5,0.01,"net.minecraft.world.level.levelgen.placement.CountPlacement.count(RandomSource, BlockPos) line: 31"
5,0.01,"net.minecraft.world.level.levelgen.feature.OreFeature.place(FeaturePlaceContext) line: 52"
5,0.01,"net.minecraft.world.level.levelgen.feature.MonsterRoomFeature.place(FeaturePlaceContext) line: 57"
5,0.01,"net.minecraft.world.level.levelgen.SurfaceRules$SequenceRule.tryApply(int, int, int) line: 384"
5,0.01,"net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.doFill(Blender, StructureManager, RandomState, ChunkAccess, int, int) line: 392"
5,0.01,"net.minecraft.world.level.levelgen.Heightmap.primeHeightmaps(ChunkAccess, Set) line: 116"
5,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$ShiftedNoise.mapAll(DensityFunction$Visitor) line: 689"
5,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$BeardifierMarker.fillArray(double[], DensityFunction$ContextProvider) line: 369"
5,0.01,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 248"
5,0.01,"net.minecraft.world.level.chunk.LevelChunk.markUnsaved() line: 168"
5,0.01,"net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.mirror(Mirror) line: 999"
5,0.01,"net.minecraft.util.Mth.binarySearch(int, int, IntPredicate) line: 622"
5,0.01,"net.minecraft.server.level.WorldGenRegion.isStateAtPosition(BlockPos, Predicate) line: 422"
5,0.01,"net.minecraft.core.BlockPos$MutableBlockPos.immutable() line: 418"
5,0.01,"java.util.stream.StreamOpFlag.fromCharacteristics(Spliterator) line: 750"
5,0.01,"java.util.Map.computeIfAbsent(Object, Function) line: 1067"
