samples,pct_of_total,leaf_frame
19,0.08,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 325"
19,0.08,"java.util.HashMap.hash(Object) line: 338"
18,0.08,"java.util.HashMap$TreeNode.getTreeNode(int, Object) line: 2049"
18,0.08,"com.google.common.base.Suppliers$NonSerializableMemoizingSupplier.get() line: 201"
17,0.07,"net.minecraft.world.level.levelgen.XoroshiroRandomSource.setSeed(long) line: 49"
17,0.07,"net.minecraft.world.level.levelgen.DensityFunctions$Spline$Coordinate.minValue() line: 1274"
17,0.07,"net.minecraft.world.level.levelgen.DensityFunctions$Spline$Coordinate.mapAll(DensityFunction$Visitor) line: 1283"
16,0.07,"net.minecraft.world.level.levelgen.synth.NormalNoise.getValue(double, double, double) line: 92"
16,0.07,"net.minecraft.world.level.levelgen.SurfaceSystem.buildSurface(RandomState, BiomeManager, Registry, boolean, WorldGenerationContext, ChunkAccess, NoiseChunk, SurfaceRules$RuleSource) line: 139"
16,0.07,"net.minecraft.server.level.ServerChunkCache.getChunkForLighting(int, int) line: 254"
15,0.06,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.isFull(AxisCycle, int, int, int) line: 83"
15,0.06,"net.minecraft.world.level.levelgen.DensityFunctions$Spline$Coordinate.apply(DensityFunctions$Spline$Point) line: 1269"
15,0.06,"java.util.stream.Nodes$FixedNodeBuilder.accept(Object) line: 1230"
14,0.06,"net.minecraft.world.level.chunk.ChunkGenerator.lambda$applyBiomeDecoration$1(WorldGenLevel, Set, ChunkPos) line: 294"
14,0.06,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 90"
14,0.06,"jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Object, Object[]) line: 104"
14,0.06,"java.util.Map.computeIfAbsent(Object, Function) line: 1067"
14,0.06,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1229"
14,0.06,"it.unimi.dsi.fastutil.longs.Long2FloatLinkedOpenHashMap.shiftKeys(int) line: 408"
14,0.06,"it.unimi.dsi.fastutil.longs.Long2FloatLinkedOpenHashMap.get(long) line: 708"
13,0.05,"net.minecraft.world.ticks.ProtoChunkTicks.schedule(SavedTick) line: 24"
13,0.05,"net.minecraft.world.level.levelgen.carver.WorldCarver.carveEllipsoid(CarvingContext, CarverConfiguration, ChunkAccess, Function, Aquifer, double, double, double, double, double, CarvingMask, WorldCarver$CarveSkipChecker) line: 104"
13,0.05,"net.minecraft.util.Mth.binarySearch(int, int, IntPredicate) line: 622"
12,0.05,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.forAllAxisFaces(DiscreteVoxelShape$IntFaceConsumer, AxisCycle) line: 274"
12,0.05,"net.minecraft.world.level.levelgen.placement.PlacedFeature.placeWithContext(PlacementContext, RandomSource, BlockPos) line: 49"
12,0.05,"net.minecraft.world.level.levelgen.placement.HeightRangePlacement.getPositions(PlacementContext, RandomSource, BlockPos) line: 40"
12,0.05,"net.minecraft.world.level.levelgen.blockpredicates.StateTestingPredicate.test(WorldGenLevel, BlockPos) line: 25"
12,0.05,"net.minecraft.world.level.levelgen.NoiseChunk$CacheOnce.compute(DensityFunction$FunctionContext) line: 694"
12,0.05,"net.minecraft.world.level.levelgen.Heightmap.update(int, int, int, BlockState) line: 147"
12,0.05,"net.minecraft.world.level.chunk.HashMapPalette.idFor(Object, PaletteResize) line: 38"
12,0.05,"net.minecraft.world.level.chunk.BulkSectionAccess.close() line: 56"
12,0.05,"java.util.HashMap.putVal(int, Object, Object, boolean, boolean) line: 636"
12,0.05,"it.unimi.dsi.fastutil.objects.ObjectOpenCustomHashSet.add(Object) line: 285"
12,0.05,"it.unimi.dsi.fastutil.longs.Long2ByteOpenHashMap.get(long) line: 374"
11,0.05,"net.minecraft.world.level.levelgen.SurfaceRules$Context.lambda$updateY$0(int, int, int) line: 102"
11,0.05,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 980"
11,0.05,"net.minecraft.world.level.levelgen.Beardifier.compute(DensityFunction$FunctionContext) line: 166"
11,0.05,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.calculatePressure(DensityFunction$FunctionContext, MutableDouble, Aquifer$FluidStatus, Aquifer$FluidStatus) line: 499"
11,0.05,"net.minecraft.core.Holder$Reference.value() line: 181"
11,0.05,"java.util.stream.Sink$ChainedReference.end() line: 261"
11,0.05,"java.util.concurrent.ConcurrentLinkedQueue.offer(Object) line: 380"
11,0.05,"java.util.ImmutableCollections$SetN.probe(Object) line: 1253"
10,0.04,"net.minecraft.world.level.levelgen.SurfaceRules$TestRuleSource.apply(SurfaceRules$Context) line: 776"
10,0.04,"net.minecraft.world.level.block.SculkVeinBlock$SculkVeinSpreaderConfig.stateCanBeReplaced(BlockGetter, BlockPos, BlockPos, Direction, BlockState) line: 174"
10,0.04,"net.minecraft.util.CubicSpline$Multipoint.apply(Object) line: 173"
10,0.04,"java.util.stream.Sink$ChainedReference.begin(long) line: 256"
10,0.04,"java.util.stream.Nodes$ArrayNode.<init>(long, IntFunction) line: 649"
