samples,pct_of_total,leaf_frame
18,0.05,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 90"
17,0.05,"net.minecraft.world.level.levelgen.feature.TreeFeature.updateLeaves(LevelAccessor, BoundingBox, Set, Set, Set) line: 225"
17,0.05,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1151"
17,0.05,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1220"
16,0.05,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.forAllAxisFaces(DiscreteVoxelShape$IntFaceConsumer, AxisCycle) line: 274"
16,0.05,"net.minecraft.world.level.chunk.ProtoChunk.markPosForPostprocessing(BlockPos) line: 272"
15,0.04,"net.minecraft.world.level.levelgen.SurfaceSystem.buildSurface(RandomState, BiomeManager, Registry, boolean, WorldGenerationContext, ChunkAccess, NoiseChunk, SurfaceRules$RuleSource) line: 139"
15,0.04,"net.minecraft.world.level.levelgen.SurfaceRules$Context.lambda$updateY$0(int, int, int) line: 102"
15,0.04,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 79"
15,0.04,"net.minecraft.core.HolderSet$Named.contains(Holder) line: 180"
15,0.04,"it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.get(long) line: 332"
15,0.04,"com.google.common.base.Suppliers$NonSerializableMemoizingSupplier.get() line: 201"
14,0.04,"net.minecraft.server.level.GenerationChunkHolder.getChunkIfPresent(ChunkStatus) line: 295"
14,0.04,"java.util.stream.Nodes$FixedNodeBuilder.accept(Object) line: 1230"
14,0.04,"java.util.HashMap.hash(Object) line: 338"
14,0.04,"java.util.HashMap.getNode(Object) line: 588"
13,0.04,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.isFull(AxisCycle, int, int, int) line: 83"
13,0.04,"net.minecraft.world.level.lighting.BlockLightEngine.propagateIncrease(long, long, int) line: 74"
13,0.04,"net.minecraft.world.level.levelgen.placement.HeightRangePlacement.getPositions(PlacementContext, RandomSource, BlockPos) line: 40"
13,0.04,"net.minecraft.world.level.levelgen.NoiseChunk$CacheOnce.compute(DensityFunction$FunctionContext) line: 694"
13,0.04,"it.unimi.dsi.fastutil.longs.Long2FloatLinkedOpenHashMap.shiftKeys(int) line: 408"
12,0.03,"net.minecraft.world.level.levelgen.feature.Feature.safeSetBlock(WorldGenLevel, BlockPos, BlockState, Predicate) line: 155"
